,rollno,std,gender,sibling,place,transport ,income,dropout
0,1,1,0,2,0,2.0,24000,0
1,2,2,1,1,1,4.0,60000,1
2,3,3,0,0,2,5.0,96000,1
3,4,4,0,1,1,3.0,25000,0
4,5,5,1,1,2,4.5,80000,1
5,6,8,0,1,0,1.0,35000,0
6,7,10,1,2,1,3.0,55000,0
7,8,12,1,0,2,4.7,92000,1
8,9,7,0,1,2,4.0,98000,1
9,10,9,1,3,0,1.8,33000,0
10,10,6,0,0,0,1.0,52511,0
11,11,6,0,0,0,0.0,40609,0
12,12,8,0,1,0,0.0,52025,0
13,13,5,0,2,1,2.0,75730,1
14,14,3,0,0,1,3.0,64535,1
15,15,2,0,2,0,1.0,53878,0
16,16,10,0,1,1,3.0,77183,1
17,17,7,0,1,1,2.0,69960,1
18,18,4,0,2,1,3.0,56926,1
19,19,4,0,2,1,3.0,74105,1
20,20,5,0,0,1,2.0,74380,1
21,21,5,0,0,1,3.0,69555,1
22,22,3,0,0,0,1.0,32313,0
23,23,3,0,2,1,2.0,49832,0
24,24,10,0,2,1,3.0,76196,1
25,25,6,0,1,1,2.0,67814,1
26,26,1,0,2,0,1.0,54447,0
27,27,8,0,1,1,2.0,40243,0
28,28,1,0,0,1,3.0,77559,1
29,29,2,0,1,1,2.0,73229,1
30,30,5,0,1,0,1.0,24059,0
31,31,8,0,1,0,0.0,21067,0
32,32,5,0,1,0,0.0,32016,0
33,33,3,0,0,1,3.0,51274,0
34,34,2,0,1,0,0.0,46314,0
35,35,5,0,0,0,0.0,45182,0
36,36,10,0,0,0,1.0,24979,0
37,37,3,0,0,0,0.0,48938,0
38,38,1,0,1,0,0.0,36359,0
39,39,7,0,1,1,2.0,66794,1
40,40,7,0,0,0,1.0,26629,0
41,41,2,0,2,1,2.0,62197,1
42,42,1,0,1,0,1.0,53273,0
43,43,10,0,1,0,0.0,22189,0
44,44,5,0,2,1,3.0,73464,1
45,45,9,0,1,0,1.0,34535,0
46,46,6,0,0,1,3.0,59192,1
47,47,9,0,1,1,3.0,66993,1
48,48,9,0,2,1,3.0,78122,1
49,49,4,0,0,0,0.0,35310,0
50,50,1,0,1,1,3.0,57227,1
51,51,6,0,1,1,2.0,50882,0
52,52,4,0,0,0,1.0,43840,0
53,53,8,0,2,1,2.0,52510,0
54,54,9,0,1,1,2.0,68168,1
55,55,3,0,1,0,0.0,29329,0
56,56,5,0,0,1,3.0,41694,0
57,57,4,0,2,1,3.0,55075,1
58,58,4,0,2,0,0.0,47364,0
59,59,4,0,0,1,2.0,66853,1
60,60,7,0,1,1,3.0,56241,1
61,61,1,0,2,0,0.0,49378,0
62,62,3,0,2,1,2.0,55548,1
63,63,2,0,1,0,0.0,30921,0
64,64,7,0,1,0,0.0,33360,0
65,65,10,0,2,0,0.0,21527,0
66,66,4,0,1,0,1.0,47356,0
67,67,5,0,2,1,2.0,43605,0
68,68,4,0,0,0,0.0,32206,0
69,69,8,0,0,0,1.0,36527,0
70,70,6,0,0,1,3.0,75770,1
71,71,3,0,2,1,3.0,74348,1
72,72,7,0,2,0,0.0,44474,0
73,73,8,0,1,1,2.0,78348,1
74,74,7,0,0,1,3.0,50657,0
75,75,9,0,1,1,3.0,78196,1
76,76,2,0,2,1,2.0,44064,0
77,77,5,0,2,1,2.0,73856,1
78,78,3,0,0,1,2.0,64646,1
79,79,8,0,2,1,3.0,41200,0
80,80,7,0,1,0,0.0,46050,0
81,81,10,0,2,1,3.0,75721,1
82,82,10,0,0,1,3.0,59190,1
83,83,5,0,0,0,0.0,36489,0
84,84,1,0,0,0,0.0,51859,0
85,85,5,0,1,1,2.0,77201,1
86,86,6,0,1,0,0.0,35662,0
87,87,9,0,0,0,1.0,54531,0
88,88,10,0,1,0,0.0,26884,0
89,89,3,0,1,0,0.0,22547,0
90,90,9,0,1,1,3.0,42559,0
91,91,3,0,2,0,0.0,45291,0
92,92,9,0,1,0,1.0,26108,0
93,93,10,0,1,0,1.0,41738,0
94,94,7,0,2,0,0.0,23726,0
95,95,8,0,0,0,0.0,26833,0
96,96,1,0,2,1,2.0,68102,1
97,97,3,0,0,1,2.0,66214,1
98,98,10,0,2,0,1.0,36903,0
99,99,1,0,1,1,3.0,78333,1
100,100,9,0,2,0,0.0,53712,0
101,101,8,0,2,0,1.0,45280,0
102,102,2,0,2,1,2.0,52810,0
103,103,10,0,1,1,2.0,40042,0
104,104,5,0,1,0,0.0,44407,0
105,105,6,0,1,0,0.0,27880,0
106,106,6,0,0,1,2.0,64909,1
107,107,5,0,0,0,0.0,24763,0
108,108,5,0,2,0,0.0,33442,0
109,109,1,0,0,1,2.0,60986,1
110,110,3,0,2,1,3.0,48336,0
111,111,1,0,0,1,3.0,43820,0
112,112,4,0,0,0,1.0,35893,0
113,113,2,0,0,1,2.0,71811,1
114,114,3,0,2,0,0.0,36230,0
115,115,1,0,2,1,2.0,76613,1
116,116,7,0,1,0,1.0,44872,0
117,117,6,0,2,1,2.0,65449,1
118,118,2,0,1,0,1.0,20174,0
119,119,4,0,2,1,3.0,41983,0
120,120,1,0,0,1,3.0,74240,1
121,121,3,0,2,1,2.0,59420,1
122,122,1,0,2,1,3.0,72379,1
123,123,3,0,0,1,3.0,78392,1
124,124,7,0,1,1,2.0,53671,0
125,125,2,0,0,1,2.0,64115,1
126,126,7,0,0,0,1.0,39606,0
127,127,10,0,2,0,1.0,31380,0
128,128,7,0,2,0,0.0,32306,0
129,129,2,0,2,1,3.0,64953,1
130,130,4,0,2,1,2.0,71943,1
131,131,4,0,1,1,2.0,62095,1
132,132,9,0,2,0,1.0,37931,0
133,133,2,0,1,1,2.0,72738,1
134,134,4,0,2,0,1.0,53901,0
135,135,3,0,0,0,0.0,22923,0
136,136,7,0,0,0,0.0,23425,0
137,137,8,0,0,0,0.0,49348,0
138,138,1,0,1,0,1.0,37752,0
139,139,7,0,2,0,1.0,38628,0
140,140,1,0,2,0,0.0,33132,0
141,141,1,0,1,0,1.0,41255,0
142,142,7,0,1,0,1.0,22180,0
143,143,7,0,2,0,0.0,48565,0
144,144,8,0,0,1,3.0,59945,1
145,145,2,0,1,1,2.0,60596,1
146,146,6,0,2,0,0.0,27937,0
147,147,6,0,1,0,1.0,26172,0
148,148,3,0,2,1,2.0,52106,0
149,149,2,0,1,0,0.0,51653,0
150,150,9,0,0,0,0.0,53149,0
151,151,1,0,1,0,0.0,46915,0
152,152,5,0,2,1,3.0,57952,1
153,153,9,0,2,1,3.0,59370,1
154,154,10,0,0,0,0.0,34369,0
155,155,7,0,1,1,3.0,53563,0
156,156,4,0,0,1,3.0,58159,1
157,157,4,0,0,0,0.0,25074,0
158,158,3,0,2,1,3.0,50336,0
159,159,4,0,1,0,0.0,20504,0
160,160,9,0,2,0,0.0,35352,0
161,161,5,0,1,0,0.0,30624,0
162,162,6,0,2,1,3.0,67041,1
163,163,7,0,1,1,3.0,43175,0
164,164,10,0,1,0,0.0,34359,0
165,165,8,0,1,0,0.0,35191,0
166,166,5,0,2,0,0.0,54260,0
167,167,1,0,2,1,2.0,48142,0
168,168,6,0,1,0,1.0,26006,0
169,169,2,0,2,1,2.0,48865,0
170,170,5,0,0,1,3.0,79815,1
171,171,6,0,0,0,0.0,22485,0
172,172,3,0,1,0,0.0,36867,0
173,173,10,0,1,1,3.0,79593,1
174,174,8,0,0,1,2.0,76316,1
175,175,7,0,1,0,0.0,23744,0
176,176,5,0,0,0,0.0,36833,0
177,177,10,0,0,1,2.0,51027,0
178,178,1,0,2,1,2.0,77926,1
179,179,1,0,2,1,2.0,40472,0
180,180,4,0,2,1,2.0,63845,1
181,181,1,0,0,0,1.0,36511,0
182,182,2,0,0,0,1.0,52741,0
183,183,1,0,2,0,0.0,44570,0
184,184,10,0,1,1,3.0,77238,1
185,185,3,0,1,1,3.0,66578,1
186,186,8,0,1,1,2.0,61166,1
187,187,10,0,0,1,3.0,50391,0
188,188,4,0,1,1,2.0,69760,1
189,189,2,0,0,0,0.0,25353,0
190,190,7,0,1,1,2.0,48603,0
191,191,9,0,0,0,1.0,30167,0
192,192,2,0,0,1,3.0,64394,1
193,193,9,0,1,0,0.0,45455,0
194,194,6,0,1,1,3.0,57042,1
195,195,5,0,1,0,1.0,32217,0
196,196,9,0,1,0,0.0,52705,0
197,197,3,0,2,1,3.0,62600,1
198,198,8,0,0,1,2.0,59533,1
199,199,1,0,0,0,1.0,39751,0
200,200,10,0,1,1,2.0,76810,1
201,201,6,0,1,1,2.0,44418,0
202,202,6,0,2,1,3.0,59487,1
203,203,4,0,2,1,2.0,73489,1
204,204,7,0,0,0,1.0,46444,0
205,205,6,0,0,1,2.0,47199,0
206,206,8,0,2,0,1.0,45518,0
207,207,3,0,0,0,1.0,52293,0
208,208,10,0,2,0,1.0,48431,0
209,209,5,0,1,0,1.0,49724,0
210,210,2,0,1,1,2.0,62922,1
211,211,2,0,1,0,0.0,47378,0
212,212,1,0,1,1,3.0,52148,0
213,213,3,0,0,1,2.0,55666,1
214,214,5,0,1,0,1.0,22003,0
215,215,6,0,1,0,1.0,29476,0
216,216,10,0,0,0,1.0,33719,0
217,217,10,0,2,0,0.0,20284,0
218,218,3,0,2,0,0.0,24922,0
219,219,4,0,2,0,0.0,33855,0
220,220,10,0,2,0,1.0,33964,0
221,221,2,0,1,1,3.0,76486,1
222,222,5,0,2,1,2.0,50427,0
223,223,6,0,2,0,1.0,23139,0
224,224,5,0,0,1,2.0,73033,1
225,225,3,0,0,1,2.0,53200,0
226,226,4,0,0,0,0.0,35394,0
227,227,7,0,0,0,0.0,23870,0
228,228,3,0,2,0,0.0,53491,0
229,229,5,0,1,1,3.0,73512,1
230,230,6,0,2,1,3.0,74114,1
231,231,1,0,1,0,1.0,54812,0
232,232,9,0,1,1,2.0,55428,1
233,233,2,0,2,1,2.0,73599,1
234,234,4,0,0,1,2.0,73884,1
235,235,4,0,0,1,3.0,40971,0
236,236,5,0,0,0,0.0,27418,0
237,237,4,0,0,1,2.0,52362,0
238,238,5,0,1,0,0.0,50819,0
239,239,7,0,2,1,3.0,67122,1
240,240,10,0,0,0,0.0,23314,0
241,241,7,0,0,0,0.0,51933,0
242,242,1,0,0,0,0.0,25110,0
243,243,2,0,1,1,3.0,77820,1
244,244,3,0,2,1,2.0,65969,1
245,245,3,0,2,1,3.0,75396,1
246,246,8,0,2,1,2.0,77623,1
247,247,2,0,1,1,2.0,55722,1
248,248,4,0,2,1,2.0,41940,0
249,249,5,0,2,0,1.0,40181,0
250,250,8,0,1,1,3.0,61194,1
251,251,8,0,2,0,0.0,39213,0
252,252,9,0,0,1,3.0,78340,1
253,253,10,0,1,0,1.0,38755,0
254,254,5,0,0,1,2.0,67621,1
255,255,7,0,1,0,1.0,48750,0
256,256,7,0,0,0,1.0,35511,0
257,257,4,0,2,1,2.0,66560,1
258,258,10,0,1,0,1.0,31250,0
259,259,2,0,1,0,1.0,23559,0
260,260,2,0,2,1,3.0,63997,1
261,261,10,0,0,0,1.0,53636,0
262,262,10,0,0,0,0.0,53401,0
263,263,6,0,2,0,1.0,49331,0
264,264,6,0,1,0,0.0,50958,0
265,265,6,0,2,1,3.0,63954,1
266,266,4,0,1,1,2.0,52566,0
267,267,8,0,2,0,1.0,43112,0
268,268,3,0,0,1,2.0,51758,0
269,269,4,0,0,0,0.0,25060,0
270,270,9,0,2,0,0.0,32826,0
271,271,3,0,1,1,2.0,67095,1
272,272,4,0,0,0,1.0,28407,0
273,273,8,0,1,0,1.0,51512,0
274,274,4,0,1,0,0.0,26548,0
275,275,10,0,0,1,3.0,72717,1
276,276,9,0,2,1,3.0,44969,0
277,277,8,0,0,1,2.0,65567,1
278,278,10,0,1,1,2.0,65400,1
279,279,2,0,2,0,1.0,39946,0
280,280,2,0,2,0,1.0,36810,0
281,281,5,0,1,1,3.0,77814,1
282,282,9,0,2,0,0.0,23151,0
283,283,1,0,2,1,3.0,65545,1
284,284,9,0,2,0,0.0,32087,0
285,285,7,0,0,1,3.0,53237,0
286,286,5,0,2,1,2.0,42381,0
287,287,9,0,1,1,3.0,42817,0
288,288,6,0,1,0,1.0,34763,0
289,289,3,0,2,0,1.0,31610,0
290,290,4,0,0,1,2.0,58439,1
291,291,4,0,0,0,1.0,45518,0
292,292,7,0,1,1,2.0,62620,1
293,293,8,0,1,0,1.0,48047,0
294,294,9,0,1,0,0.0,23034,0
295,295,2,0,0,0,0.0,43127,0
296,296,5,0,1,1,2.0,54907,0
297,297,1,0,2,1,2.0,60788,1
298,298,1,0,0,1,3.0,63661,1
299,299,3,0,0,0,0.0,47864,0
300,300,8,0,1,0,1.0,23776,0
301,301,8,0,1,0,0.0,22324,0
302,302,9,0,0,0,1.0,49105,0
303,303,2,0,1,1,3.0,61372,1
304,304,1,0,2,0,0.0,52243,0
305,305,1,0,1,0,0.0,26564,0
306,306,3,0,0,1,3.0,68012,1
307,307,1,0,2,1,3.0,69701,1
308,308,1,0,1,1,3.0,49766,0
309,309,8,0,2,0,0.0,20952,0
310,310,5,0,0,0,0.0,36650,0
311,311,2,0,2,0,1.0,38493,0
312,312,7,0,0,1,3.0,79552,1
313,313,4,0,1,1,3.0,64386,1
314,314,1,0,0,1,2.0,66133,1
315,315,1,0,2,0,1.0,37025,0
316,316,5,0,2,0,0.0,24118,0
317,317,9,0,2,0,0.0,35851,0
318,318,1,0,0,0,1.0,35512,0
319,319,10,0,1,1,3.0,65850,1
320,320,2,0,1,0,1.0,36141,0
321,321,2,0,1,1,2.0,41203,0
322,322,7,0,1,1,3.0,78862,1
323,323,1,0,0,1,2.0,64928,1
324,324,10,0,1,0,1.0,29471,0
325,325,5,0,0,0,0.0,50784,0
326,326,9,0,2,0,1.0,37199,0
327,327,8,0,0,0,1.0,41341,0
328,328,3,0,2,0,1.0,51965,0
329,329,10,0,1,0,1.0,46117,0
330,330,5,0,0,0,1.0,45757,0
331,331,6,0,0,0,0.0,30086,0
332,332,9,0,2,0,0.0,37636,0
333,333,5,0,0,1,3.0,62356,1
334,334,3,0,0,0,0.0,51974,0
335,335,8,0,2,1,3.0,48611,0
336,336,3,0,2,1,3.0,59065,1
337,337,3,0,2,0,0.0,20380,0
338,338,10,0,1,1,2.0,59749,1
339,339,9,0,0,0,0.0,47031,0
340,340,4,0,0,1,2.0,65630,1
341,341,3,0,1,0,1.0,26543,0
342,342,1,0,0,1,3.0,49654,0
343,343,7,0,0,0,0.0,43032,0
344,344,1,0,1,0,1.0,36374,0
345,345,10,0,1,0,0.0,35948,0
346,346,9,0,1,1,3.0,74135,1
347,347,2,0,2,0,1.0,42038,0
348,348,3,0,1,0,1.0,28844,0
349,349,2,0,2,0,0.0,24047,0
350,350,4,0,0,0,1.0,53148,0
351,351,5,0,2,1,2.0,43348,0
352,352,10,0,1,1,2.0,61823,1
353,353,9,0,1,1,3.0,48118,0
354,354,8,0,2,0,1.0,22709,0
355,355,4,0,0,1,2.0,67341,1
356,356,8,0,1,0,0.0,40378,0
357,357,8,0,0,0,1.0,34289,0
358,358,8,0,0,0,1.0,39225,0
359,359,9,0,0,1,3.0,43995,0
360,360,3,0,2,0,0.0,22177,0
361,361,3,0,1,1,3.0,63307,1
362,362,6,0,2,1,3.0,56235,1
363,363,4,0,0,1,3.0,73621,1
364,364,2,0,0,0,1.0,23156,0
365,365,2,0,2,1,3.0,68811,1
366,366,10,0,2,0,0.0,29437,0
367,367,7,0,2,1,2.0,66618,1
368,368,3,0,0,1,2.0,64015,1
369,369,3,0,2,0,0.0,39097,0
370,370,2,0,2,1,2.0,63254,1
371,371,6,0,0,0,0.0,27633,0
372,372,1,0,1,1,2.0,69838,1
373,373,6,0,0,1,3.0,76022,1
374,374,5,0,2,1,2.0,79971,1
375,375,9,0,2,1,3.0,51514,0
376,376,5,0,1,0,0.0,49306,0
377,377,3,0,1,1,3.0,63267,1
378,378,3,0,2,0,1.0,45291,0
379,379,10,0,2,0,1.0,22504,0
380,380,4,0,0,1,3.0,45777,0
381,381,5,0,0,0,0.0,47060,0
382,382,1,0,2,0,1.0,22926,0
383,383,6,0,0,1,2.0,40184,0
384,384,5,0,2,1,3.0,78036,1
385,385,6,0,1,0,1.0,54012,0
386,386,3,0,0,0,0.0,31323,0
387,387,4,0,2,0,1.0,31040,0
388,388,6,0,2,1,2.0,44085,0
389,389,3,0,1,0,1.0,45480,0
390,390,10,0,2,1,3.0,52701,0
391,391,1,0,2,0,0.0,51872,0
392,392,4,0,1,0,0.0,36678,0
393,393,4,0,2,1,2.0,78751,1
394,394,6,0,1,0,0.0,45737,0
395,395,1,0,1,1,2.0,74058,1
396,396,4,0,1,1,3.0,57040,1
397,397,8,0,0,0,1.0,22446,0
398,398,8,0,0,0,0.0,27393,0
399,399,6,0,0,0,0.0,21166,0
400,400,3,0,0,0,0.0,44550,0
401,401,4,0,2,0,0.0,23149,0
402,402,6,0,2,1,2.0,45538,0
403,403,6,0,2,1,2.0,42923,0
404,404,7,0,0,0,1.0,47986,0
405,405,3,0,1,0,0.0,40438,0
406,406,2,0,0,1,3.0,51980,0
407,407,10,0,1,0,1.0,41374,0
408,408,8,0,1,0,0.0,48715,0
409,409,7,0,1,1,2.0,69341,1
410,410,1,0,1,0,1.0,23362,0
411,411,1,0,0,1,2.0,42433,0
412,412,9,0,1,0,0.0,35942,0
413,413,8,0,0,0,1.0,35569,0
414,414,3,0,2,1,2.0,66570,1
415,415,1,0,1,1,2.0,46507,0
416,416,7,0,0,1,2.0,68066,1
417,417,10,0,2,1,2.0,67616,1
418,418,7,0,1,1,3.0,52916,0
419,419,9,0,2,0,1.0,47776,0
420,420,7,0,1,1,2.0,41136,0
421,421,1,0,1,0,0.0,53844,0
422,422,1,0,1,1,3.0,79301,1
423,423,1,0,1,1,2.0,64716,1
424,424,1,0,2,0,1.0,26963,0
425,425,7,0,0,0,0.0,35465,0
426,426,6,0,2,1,3.0,43150,0
427,427,5,0,1,0,0.0,24231,0
428,428,3,0,2,0,1.0,47564,0
429,429,5,0,0,1,2.0,44795,0
430,430,9,0,2,1,3.0,58200,1
431,431,4,0,1,0,1.0,30646,0
432,432,7,0,1,0,1.0,52603,0
433,433,3,0,1,0,0.0,28868,0
434,434,7,0,2,1,3.0,47545,0
435,435,3,0,2,0,0.0,35217,0
436,436,3,0,2,0,1.0,51167,0
437,437,1,0,0,1,2.0,50440,0
438,438,10,0,2,1,2.0,42059,0
439,439,9,0,0,1,3.0,61995,1
440,440,9,0,2,0,1.0,22898,0
441,441,10,0,2,1,3.0,58554,1
442,442,3,0,0,1,3.0,77503,1
443,443,2,0,1,0,1.0,38752,0
444,444,6,0,2,1,2.0,79102,1
445,445,1,0,0,1,2.0,56755,1
446,446,8,0,0,0,0.0,44344,0
447,447,6,0,0,0,0.0,50020,0
448,448,7,0,0,1,2.0,56703,1
449,449,5,0,1,1,3.0,67586,1
450,450,4,0,0,0,0.0,20198,0
451,451,6,0,1,0,0.0,38047,0
452,452,6,0,2,0,1.0,31003,0
453,453,2,0,1,1,3.0,61091,1
454,454,10,0,2,0,0.0,51945,0
455,455,6,0,2,1,3.0,42317,0
456,456,7,0,1,1,2.0,63611,1
457,457,8,0,2,0,1.0,54237,0
458,458,8,0,2,1,2.0,46585,0
459,459,5,0,0,1,2.0,76009,1
460,460,10,0,0,1,3.0,43413,0
461,461,10,0,2,0,1.0,52798,0
462,462,1,0,2,0,0.0,39417,0
463,463,9,0,2,0,0.0,50603,0
464,464,3,0,2,0,0.0,27558,0
465,465,6,0,2,1,3.0,59182,1
466,466,6,0,0,0,0.0,48910,0
467,467,6,0,0,0,0.0,53816,0
468,468,9,0,1,0,1.0,21199,0
469,469,5,0,1,1,2.0,57669,1
470,470,8,0,1,0,1.0,20148,0
471,471,9,0,1,0,0.0,22716,0
472,472,7,0,0,1,2.0,52753,0
473,473,6,0,0,1,2.0,43124,0
474,474,1,0,2,1,2.0,43129,0
475,475,8,0,2,0,1.0,34574,0
476,476,6,0,0,1,3.0,44047,0
477,477,6,0,0,0,1.0,52604,0
478,478,8,0,2,0,0.0,29803,0
479,479,3,0,1,0,1.0,32965,0
480,480,10,0,0,0,0.0,29920,0
481,481,5,0,1,0,1.0,31732,0
482,482,7,0,2,0,0.0,35538,0
483,483,3,0,2,0,1.0,49335,0
484,484,1,0,0,0,1.0,39275,0
485,485,3,0,1,1,3.0,57989,1
486,486,8,0,2,1,3.0,57144,1
487,487,3,0,2,0,1.0,22163,0
488,488,6,0,0,0,1.0,24384,0
489,489,9,0,1,1,3.0,70118,1
490,490,5,0,0,1,3.0,46299,0
491,491,10,0,1,0,0.0,42326,0
492,492,7,0,0,1,3.0,49673,0
493,493,3,0,2,0,0.0,52946,0
494,494,3,0,1,0,1.0,33703,0
495,495,6,0,0,0,1.0,42777,0
496,496,4,0,2,1,3.0,41588,0
497,497,5,0,0,1,3.0,72494,1
498,498,10,0,2,1,2.0,71187,1
499,499,3,0,1,0,0.0,36508,0
500,500,4,0,1,1,3.0,56723,1
501,501,7,0,2,1,2.0,60841,1
502,502,9,0,2,0,0.0,30201,0
503,503,8,0,2,1,2.0,74893,1
504,504,6,0,0,0,1.0,44331,0
505,505,5,0,1,1,3.0,54543,0
506,506,2,0,0,1,2.0,66815,1
507,507,7,0,1,0,1.0,46320,0
508,508,5,0,1,1,3.0,74062,1
509,509,10,0,0,1,3.0,45314,0
510,510,10,0,2,0,0.0,25381,0
511,511,1,0,2,1,2.0,60515,1
512,512,5,0,0,1,2.0,72236,1
513,513,3,0,0,1,2.0,50750,0
514,514,1,0,0,1,3.0,73025,1
515,515,4,0,0,1,3.0,57321,1
516,516,2,0,1,0,0.0,40439,0
517,517,2,0,1,1,3.0,49275,0
518,518,3,0,0,0,0.0,38162,0
519,519,7,0,2,1,3.0,49025,0
520,520,9,0,1,1,3.0,71538,1
521,521,6,0,2,0,1.0,30392,0
522,522,5,0,1,0,1.0,38685,0
523,523,10,0,1,1,3.0,48889,0
524,524,10,0,0,1,3.0,72502,1
525,525,1,0,0,0,0.0,25274,0
526,526,6,0,0,0,1.0,44816,0
527,527,7,0,0,0,1.0,40334,0
528,528,6,0,0,0,1.0,27738,0
529,529,9,0,1,1,3.0,58106,1
530,530,9,0,0,0,1.0,27799,0
531,531,10,0,2,1,2.0,66016,1
532,532,10,0,1,0,0.0,48547,0
533,533,3,0,0,1,2.0,50225,0
534,534,7,0,0,0,0.0,54916,0
535,535,1,0,2,0,0.0,23413,0
536,536,8,0,1,1,3.0,45046,0
537,537,9,0,1,0,1.0,42212,0
538,538,9,0,1,1,2.0,62546,1
539,539,8,0,0,1,2.0,59336,1
540,540,2,0,2,0,1.0,26263,0
541,541,9,0,2,1,2.0,79537,1
542,542,8,0,1,0,1.0,28557,0
543,543,2,0,0,0,1.0,48718,0
544,544,3,0,0,1,3.0,55819,1
545,545,7,0,2,0,1.0,26768,0
546,546,6,0,1,0,1.0,33336,0
547,547,1,0,0,0,1.0,42465,0
548,548,3,0,0,0,1.0,31651,0
549,549,4,0,1,1,2.0,65259,1
550,550,10,0,1,1,3.0,61171,1
551,551,9,0,0,1,3.0,73991,1
552,552,9,0,2,0,1.0,50652,0
553,553,9,0,1,0,1.0,46389,0
554,554,7,0,1,1,3.0,58833,1
555,555,1,0,1,0,1.0,33364,0
